                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.4182,                 1.0129,                0.93113,                0.49332,                 0.3483,                 0.3734,                0.21677,                 1.3515,                0.95503,                0.91471,               0.006238,               0.006238,               0.006238
                    117,                 1.4458,                 1.0205,                0.92726,                0.49899,                0.35889,                0.37408,                0.21932,                 1.3329,                0.94908,                0.90945,               0.006205,               0.006205,               0.006205
                    118,                 1.4169,                 1.0149,                0.92719,                 0.4719,                0.33784,                0.35309,                0.20514,                 1.3773,                0.97625,                0.91806,               0.006172,               0.006172,               0.006172
                    119,                 1.4364,                 1.0068,                0.92058,                0.49832,                0.34713,                0.36689,                0.21591,                 1.3538,                 0.9741,                0.91112,               0.006139,               0.006139,               0.006139
                    120,                 1.4256,                 1.0054,                0.93038,                0.49648,                0.35692,                0.37339,                0.21897,                 1.3469,                0.95566,                0.90965,               0.006106,               0.006106,               0.006106
                    121,                 1.4407,                 1.0116,                0.93072,                 0.5064,                0.35629,                0.37203,                0.21906,                 1.3577,                0.95597,                0.91496,               0.006073,               0.006073,               0.006073
                    122,                 1.4233,                 1.0066,                0.92509,                0.47768,                0.36674,                0.37874,                0.22363,                 1.3394,                0.94293,                0.91012,                0.00604,                0.00604,                0.00604
                    123,                 1.4207,                0.99331,                0.92039,                0.52184,                0.35838,                0.37867,                0.22332,                 1.3333,                0.93446,                0.90722,               0.006007,               0.006007,               0.006007
                    124,                 1.4553,                  1.025,                0.92979,                0.50955,                0.36567,                0.38868,                0.22797,                 1.3284,                0.93966,                0.91012,               0.005974,               0.005974,               0.005974
                    125,                 1.4267,                 1.0026,                0.92451,                0.52124,                0.34427,                 0.3726,                0.21306,                 1.3787,                0.97432,                0.91325,               0.005941,               0.005941,               0.005941
                    126,                  1.425,                0.99693,                0.92365,                0.50985,                0.35379,                0.36814,                0.21681,                 1.3564,                0.94618,                  0.909,               0.005908,               0.005908,               0.005908
